Name,Log2FC_PrimCom
TSPAN6,0.30133119973851014
DPM1,0.11722441983590799
SCYL3,0.45001858826446844
C1orf112,0.1556219821613942
FGR,-0.7504133037456053
CFH,0.47460367400065195
FUCA2,-0.4831907284492196
GCLC,0.25209841169552516
NFYA,0.5679592633330446
STPG1,0.4861673251283124
NIPAL3,0.4957809254771332
LAS1L,0.6199070771156654
ENPP4,0.08801814790159208
SEMA3F,-0.015603870534725488
ANKIB1,0.3536849723325751
CYP51A1,-0.26733594512209524
KRIT1,0.4802106387951117
RAD52,0.6954795417858403
BAD,0.1039920041419475
LAP3,-0.4239139501547557
CD99,0.5790579952738171
HS3ST1,-0.1909536694431441
AOC1,-0.2894811170221809
MAD1L1,-0.07508925736571385
LASP1,-0.4287667619857848
SNX11,-0.5865334820441227
TMEM176A,-0.5999936523208601
M6PR,-0.15184516768087997
KLHL13,0.30000250047490634
ICA1,0.047392363351631946
DBNDD1,0.22846881738878677
ALS2,0.8780682446981103
CASP10,-0.03552628264667596
CFLAR,-0.5245098035608992
TFPI,0.5868258391802532
NDUFAF7,0.36508309763096325
RBM5,0.42682839472599177
MTMR7,0.06551454679809067
SLC7A2,0.18349003911285128
ARF5,-0.3055563772423389
SARM1,-0.013220453534109024
POLDIP2,0.2885226632633888
PLXND1,0.2289259532583705
AK2,-0.012542939461274093
CD38,0.2761170566448981
FKBP4,0.5402472746712279
KDM1A,0.7973956179676617
RBM6,0.5122678782521538
CAMKK1,-0.33657295927172054
RECQL,-0.04805923138000835
VPS50,0.14982919799965402
ARHGAP33,0.09207757630142013
NDUFAB1,0.2224464416482389
PDK4,-0.6650323149950619
SLC22A16,0.10889116732266982
ZMYND10,0.17524582265634303
ABCB5,0.009093533158774597
SLC25A13,0.15259648732931297
ST7,-0.14181410958492807
CDC27,0.20954787195489485
HCCS,-0.3078952876951854
DVL2,0.6485449485723426
UPF1,-0.10811202520539782
SKAP2,-0.1758159219901071
SLC25A5,0.12665385701799797
MCUB,-0.7274343642153932
HOXA11,0.5339852963635165
POLR2J,-0.15285295846404082
DHX33,0.6480106699679127
THSD7A,0.18591681318292905
LIG3,0.5405265246001139
RPAP3,0.3696030390838547
ACSM3,0.5140909584348998
REXO5,0.4665677771443863
CIAPIN1,0.7029514733732085
SPPL2B,0.3557441484671778
FAM214B,-0.4724996705683732
COPZ2,-0.5980442910796006
PRKAR2B,-0.26782305705856
MSL3,-0.6924970477377752
CREBBP,-0.2375160925501483
TSPOAP1,0.21134618432506797
MPO,-0.06852359679808875
GCFC2,0.03128815405702945
WDR54,0.34672127714349515
CROT,0.3785142807170651
ABCB4,-0.32822422537578544
KMT2E,0.09985950962912761
RHBDD2,-0.10824941770484155
SOX8,0.16045593161655367
IBTK,0.490165123158319
ZNF195,0.6079452343627213
MYCBP2,0.012759188309753557
FBXL3,0.30638175703334286
ITGAL,-0.6528922248944565
PDK2,0.15347019884304616
ITGA3,0.1616297180093997
ZFX,0.7484606946057097
LAMP2,0.03089116316051167
ITGA2B,0.06667254388363703
GDE1,0.13991161367975896
REX1BD,0.00793635515984805
OSBPL7,0.4337636477990482
TMEM98,0.18728626026220332
MAP3K14,-0.263083047971441
AP2B1,0.32237564269633556
ZNF263,0.8679256103913561
SPATA20,0.1371730675985291
TNFRSF12A,-0.08324447112883968
MAP3K9,-0.14566398081177953
RALA,0.6538419879027132
BAIAP2L1,0.1126222117291428
KDM7A,-0.582506832610158
ETV1,-0.40011392175582056
AGK,0.447050445313184
ALDH3B1,-0.2572189537701398
TTC22,-0.3300127088285465
PHTF2,-0.0820404857445918
FARP2,-0.0013523254934933264
GGCT,0.39144891092395045
DBF4,0.2473184462195811
TBXA2R,0.3543769739001763
IFRD1,0.13991476967375202
COX10,0.3537161908358471
GTF2IRD1,0.5000520195571604
PAF1,0.184388694236949
VPS41,0.13695313997003364
ARHGAP44,-0.14996912229134637
ELAC2,0.31349948489988694
SCIN,-0.4810641866439107
ARSD,0.10274711051828858
PNPLA4,0.47538752665664685
ADIPOR2,0.1280000744243369
CDKL3,0.4188032310309514
UPP2,-0.104350063093594
PRSS21,-0.0021106339677989206
MARK4,0.11088341750826877
PROM1,-0.03880074675298783
CCDC124,-0.04151502626277985
CEACAM21,-0.002746797291759544
PAFAH1B1,0.19462666534323494
KIAA0100,0.1744165409155127
GAS7,-0.6961025857664446
TRAPPC6A,0.21194717372584215
MATK,0.4832969609581252
CD79B,-0.1645705658348752
SCN4A,0.150804882011751
ST7L,0.7428034059372282
TKTL1,-0.1450650657749156
RPUSD1,0.24394684616181508
RHBDF1,-0.019204545510686868
LUC7L,0.5634076270795162
CACNA2D2,0.06559441372334111
BAIAP3,0.006038104992825896
TSR3,0.01875312073236276
PIGQ,0.34263858670698627
CRAMP1,0.42203431185534773
TEAD3,0.4690235056266484
SELE,-0.13828003834865815
DNAJC11,0.7248521505276456
FMO3,-0.04759013917536404
MYLIP,0.3294789099497865
E2F2,-0.3577830833782484
PSMB1,0.07285776025092366
SYN1,0.07922653159604738
JARID2,0.14437579748083756
CDKL5,-0.29312077042673795
CDK11A,-0.16459019428699678
NADK,-1.400079311504817
DLEC1,-0.2240865763200944
CYTH3,0.33309037970520605
ADAM22,0.48041082465539076
SYPL1,0.5843665189033175
CYB561,0.24283449335136975
SPAG9,0.23259982044453514
CELSR3,-0.07093710340393641
AASS,0.30847565909516267
PLEKHG6,0.2428920091979055
SS18L2,0.13861809829063473
MPND,-0.02322574501211197
MGST1,0.07190527682588187
CRY1,0.040911165445842626
PGLYRP1,-0.3690398559964144
NFIX,0.38539121077615524
ST3GAL1,0.05688705379353938
MMP25,-0.597672326365043
IL32,-0.23117821266217534
PKD1,0.19468216321468085
MAPK8IP2,0.01585321166500698
MED24,0.4033838627936536
RHOBTB2,-0.26936206221879333
HEATR5B,0.759849474074611
SEC62,0.07733858908927244
CSDE1,0.38774384565915004
UBE3C,0.15978737669806317
REV3L,0.789733902984493
TENM1,-0.0012438454092136126
FAM76A,-0.06689442781966307
TRAF3IP3,-0.18680056938233755
POMT2,0.5949964012496135
VTA1,0.20439872488862457
MLXIPL,-0.3986616013458353
BAZ1B,0.17073494760099153
RANBP9,0.5271689336980871
ETV7,-0.6864350830873789
SPRTN,0.19228158309035084
METTL13,0.3866759689031147
DYRK4,0.21747747687217497
ZNF207,0.3585527402637715
UQCRC1,-0.20514580541534944
STARD3NL,0.4080462294306254
CD9,-0.20276377352624747
NCAPD2,-0.28216727314541207
IFFO1,-0.24035438539895274
GIPR,-0.13742670972467613
PHF7,0.28660303568202683
SEMA3G,0.14139289414851844
NISCH,0.05325647684985106
STAB1,-0.3046982553225024
FUZ,0.5227115092402987
SLC6A13,0.20868738656319993
IDS,0.18248282546614403
ZNF200,0.24458528185110734
CD4,-0.7203518435977825
LRRC23,0.6168732439148641
BTK,0.26886496233321455
HFE,-0.7795631861380067
SCMH1,0.48100121186239325
FYN,-0.2724945665409609
HIVEP2,0.3860349789930067
ELOA,0.3006109819000305
LYPLA2,-0.5420243078167731
CLCN6,-0.0625269454074095
MRC2,0.18004552867228313
TSPAN9,-0.06086207512338114
BTBD7,0.4700209179341444
APBA3,0.2144348459909015
MKS1,0.8835944912755441
ABHD5,-0.23895114404242304
ANOS1,-0.7335937410578486
AKAP8L,0.5356383284236103
MBTD1,0.9939643777114374
UTP18,0.4437979223630834
RNF216,0.21821214707638412
TTC19,0.4823393187285478
PTBP1,0.18708731448205534
DPF1,0.41762979002703193
LARS2,0.5461216701818444
PIK3C2A,0.19610655211427455
PLAUR,-0.42387385921645687
ANLN,-0.3145790396831648
WIZ,0.21765872320107987
RABGAP1,0.7100143395581545
DCN,0.09064323832777124
QPCTL,0.5391113463762764
PPP5C,0.3266612981409594
CEP68,0.7302541508842239
MAP4K3,0.7925396974213759
ZBTB32,-0.24586852864185263
TYROBP,-0.5573426021326549
LDAF1,0.5890961357986223
BRCA1,0.05011437992501497
ERCC1,0.3300539746740508
CD22,-0.3627265474002122
SEMA3B,0.4272048597233232
MBTPS2,0.3925798817453026
PRICKLE3,-0.05333568060120292
LTF,-0.1625188592454913
EXTL3,-0.4307285673928429
ELOVL5,-0.08722033322948272
ALOX5,-0.4634245777258338
KDM5D,0.027383715841190422
CALCOCO1,0.3354334860549827
UBR7,0.32091106558226923
MAP4K5,0.789122182297516
EHD3,0.28425021828121333
PSMC4,-0.12494929843837026
MAN2B2,-0.31066007894619724
SLC25A39,0.17563837022100234
MVP,-0.7926324371730746
