Name,Log2FC_PrimCom
ADP-ribose,0.0057453102999023105
Ophthalmate,0.09655510129635012
Diethyl iminodiacetate,0.3788011849205437
Threoninyl-Serine,-0.2127694371853472
N-Methylalanine,0.07964805065110696
DEET,0.03576898755837589
Alanyl-Proline,0.022681489600096322
Oxidized glutathione,0.2348122047351965
Leucyl-Proline,-0.14352759697017092
Adenosine Monophosphate (AMP),-0.012774433932399746
3-Hydroxyadipic acid,0.12173107810632547
GABA,-0.00595630865388166
"N,N-Diethylethanolamine",-0.0261235750343875
"Trans-Cyclohexane-1,2-Diol",0.06615980085957722
Uridine Diphosphate-N-Acetylglucosamine,0.019148056061279443
Thymine,-0.06439635295437175
Hypophosphoric acid,-0.07075251837847732
"2,4,6-Tris(allyloxy)-1,3,5-triazine",-0.0510668145824043
2-methylquinolin-8-ol,0.2723633456230811
Citraconic acid,0.11477493518693788
6-Phosphogluconic acid,0.1734894404909064
Cytidine Diphosphate (CDP),0.20360632186548536
"Furan-2,5-dicarboxylic acid",0.162392474669244
N-Acetyl-L-methionine,-0.23152779017408426
Glycylleucine,-0.2458366614176895
Tiglylcarnitine,-0.023910333146980246
Pterin,0.2653193255664227
"Fructose 1,6-Bisphosphate",-0.017611052879498584
N-Acetylaspartylglutamic acid,0.4073179934983324
Valyl-Glycine,-0.12398051722418793
Deoxyadenosine,-0.05910082661399757
Uridine Monophosphate (UMP),0.025604229329719657
Similarity to Prolylleucine,-0.22498720572396377
Hydroxybutyrylcarnitine,-0.05239357882650238
"(12Z)-9,10,11-trihydroxyoctadec-12-enoic acid",-0.013762547122879441
Salsolinol,0.06664897029107807
Diethyleneglycol dibenzoate,-0.10506489701620217
Creatine,0.08762381345196349
Leucine methyl ester,0.1791608801398012
Methionine sulfoxide,0.13559058284143602
D-Ribose 5-Phosphate,-0.1083501705280634
Tetradecadiencarnitine,0.16682873587918468
Bis(2-butoxyethyl) ether,0.1572453716485622
Histidinyl-Valine,-0.18835423362485681
N-Lauryldiethanolamine,0.032877947865675626
Spermine,0.10255326902766833
Uridine,0.22811742943361615
1-Aminocyclopropane-1-carboxylic acid,0.06408855087948165
L-Cysteinesulfinic acid,-0.4210875507183223
Myristoyl-L-carnitine,0.04631954358505188
PC(2:0/0:0),0.6669398111243531
Glutamine,0.006974513835948402
Phenylacetylglutamine,-0.0582994856721023
Prolyl-Alanine,0.017027537443431218
Isobutyryl-L-carnitine,-0.1783589652745422
Valylthreonine,-0.17473937725303842
Glycyltyrosine,0.09850110635767015
Sugars-Disaccharide,-0.06972931435550066
N-palmitoyl glutamic acid,0.13239610181374864
L-Homocarnosine,0.11455759608922608
N-Propionylalanine,0.045914185504752875
Heptanoic acid,-0.009394726678450295
Methionine methyl ester,0.11028684520575205
Alanyltyrosine,-0.24332026351560568
Ergothioneine,-0.15750515413068333
Guanosine Diphosphate (GDP),0.1608482689931065
Galaxolidone,0.3680741932687066
Possible Carnitine__B,-0.051918647250487344
Propham,0.13022518594018404
Allopurinol,0.09324201472619482
LPE O-18:1,-0.21587837672547275
Threoninyl-Glutamine,-0.2400125373322859
1-Palmitoyl-sn-glycero-3-phosphocholine,-0.4207585015608941
Lauryl diethanolamide,0.09949412616521544
Hypoxanthine,-0.013473262664137594
"Cytidine 2',3'-Cyclic Phosphate",-0.1410649470420708
6-Methylnicotinamide,0.286328021065837
(9Z)-3-hydroxydodecenoylcarnitine,0.07346796628783347
Dodecanoylcarnitine,-0.19890729093641388
Myristamine Oxide,-0.15273812024472744
Sugars-Hexoses-Phosphate,-0.4616887467476243
Hypotaurine,0.15003340266109827
Guanosine Monophosphate,-0.1545059294179336
Acetyl-L-carnitine,0.04526844658463228
Vinyl Carbamate,0.1470033368123907
3-Hydroxypyridine,0.18346886666115378
Aminopurine,0.3215789817292857
5-Methylcytidine,-0.17349640256186877
N-Acetyl-L-aspartic acid,0.40321012382396226
"1,3-Diphenylurea",0.24998586278396934
Homocysteine Thiolactone,0.10632450425528946
Phosphocreatine,0.04364428527217841
