Name,Log2FC_PrimCom
ARF5,-0.22321940543353774
M6PR,-0.4052157156195762
ESRRA,-0.13026481454494762
FKBP4,0.5757710403166268
NDUFAF7,0.31180015689420537
FUCA2,0.024892773226113107
USP28,0.16141174902087677
ZNF195,0.5241102620141405
PDK4,-0.37752293764310335
RALA,0.3792071656974606
BCAP29,-0.11942852720895746
DVL2,0.5827157000203111
RPAP3,0.5452855160875244
SKAP2,-0.30738251245244713
PRSS21,-0.04601746562251915
TRAPPC6A,-0.08866052942917559
WDR54,-0.0984793771551897
SPATA20,0.20549170910868958
CD79B,0.0744668606915522
RHBDD2,0.0778412877806654
RPUSD1,-0.7367069919473306
TSR3,-0.1428293853156011
OSBPL7,0.26577279252893304
NDUFAB1,0.12850929403686348
PGLYRP1,-0.29461523982264654
STARD3NL,-0.1592052931413866
CD9,-0.24260933799288686
CD74,-0.20820078679938156
RPS20,0.10930860769223984
RANBP9,-0.18135745843450748
CD4,-0.7070827848877071
SS18L2,-0.030188910825233034
TSPAN9,-0.7029926547701842
QPCTL,0.12346499885324562
PPP5C,0.10741024699004494
UBR7,0.42887738534968767
MAP4K5,0.2610514510780164
HEBP1,0.28091459229198545
COX15,-0.06962155145688555
XYLT2,-0.38561665827068353
FTSJ1,0.08009988882556911
VDAC3,0.37022141630232425
RTF2,-0.006961813156358178
RB1CC1,-0.30239761144879895
AKAP11,0.2575635481834251
B4GALT7,-0.041347927164700066
CHPF2,0.3242606972616493
GABARAPL2,-0.4546296822405919
FAM136A,0.7653268244109374
NSMAF,-0.1400770237257342
OTC,-0.20034055247524807
MRI1,0.13080174168274603
TARBP1,0.02387422168959428
PSMA4,-0.051366313353920105
LCP2,-0.6107883644164407
GOPC,0.6196037626736588
DCN,-0.9244230792340355
MRPS10,0.4060408775310156
GRN,-0.9442599937014616
THAP3,0.10256983575321295
VAMP3,-0.5510305467468992
RCN1,0.11895940000059176
RFC2,0.3205446114984231
ARHGEF5,-0.023222839316052287
SIKE1,-0.03422144550840326
FAM168A,0.29419381417132956
RELT,-0.03224167349786153
CDC27,0.10944067410180641
PKP2,-0.056960806347234515
INPP4A,-0.49632262686473105
SLC2A3,-0.5919999548015381
GNA11,-0.04851393341746859
MRPS35,0.3055947282011869
APPBP2,-0.3014186331390629
EPN1,-0.2542226505083654
ZFY,0.3684355056556457
KCNQ1,-0.8163809342539314
OTUD5,0.20107350057729328
GPKOW,0.29079123528056006
AQR,0.20513248572333986
LMCD1,-0.6682903286541693
PSMC4,-0.013306243028431052
ACAP1,0.1474420852104786
DERL2,0.08468241964363743
ANO8,-0.031041696240755163
ICAM3,-0.5372746172392435
KIF22,-0.34482331910960506
CEACAM1,-0.183626595271164
