Lipid,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-03968,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01366,C3N-01368,C3N-01369,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
CE(20:3),20.237,21.663,20.504,19.874,20.980,19.520,20.915,21.159,20.744,20.246,18.596,21.277,20.002,21.460,20.802,22.191,19.144,22.256,21.752,21.636,23.593,20.601,21.803,21.081,19.813,21.883,19.555,21.747,21.172,21.580,20.731,21.317,21.168,22.688,21.175,21.284,20.566,20.590,22.118,20.523,20.998,20.722,22.391,21.187,22.907,21.153,22.294,22.055,21.633,21.246,21.263,21.949,19.173,21.477,19.646,20.759,22.971,22.040,20.816,23.122,21.461,21.969,20.009,22.421,21.344,22.185,24.021,21.986,21.433,21.176,21.402,21.469,21.963,18.298,22.198,19.820,20.495,20.805,21.723,19.674,15.055,14.502,15.757,14.633,15.415,15.098,14.954
CE(20:4),20.119,20.288,20.260,19.166,21.485,19.334,20.313,21.753,19.732,19.476,19.819,21.037,20.114,21.579,21.061,21.161,19.368,21.460,20.950,20.902,22.708,19.162,21.748,20.319,18.936,20.233,19.742,21.476,20.474,21.260,19.974,20.280,20.306,21.747,19.422,19.974,19.378,19.954,21.785,19.225,20.431,20.060,21.354,19.558,22.688,20.983,21.915,21.346,20.809,19.901,21.044,19.926,19.183,20.204,19.271,20.425,22.452,21.224,19.908,21.902,20.251,20.633,20.800,21.591,21.307,21.005,23.940,19.727,21.415,20.718,20.127,21.859,21.336,17.980,21.764,20.202,19.456,19.996,21.981,18.934,17.609,17.517,18.617,18.566,19.211,18.771,19.148
CE(22:2),16.257,17.834,14.827,16.210,17.579,15.504,18.719,16.787,17.775,16.022,12.662,16.542,14.755,17.811,16.585,17.755,15.622,18.510,16.494,17.660,19.207,16.160,19.095,17.013,17.313,17.883,14.466,18.123,17.582,18.163,16.919,17.155,17.014,18.475,18.256,17.070,17.058,16.741,19.334,16.531,17.556,17.839,18.518,18.329,19.755,17.196,19.240,18.390,18.353,18.346,17.619,17.394,14.549,16.965,16.441,17.104,20.286,18.118,17.555,19.691,18.361,18.546,16.008,18.654,17.506,18.992,20.254,19.613,17.469,18.857,17.613,15.210,18.696,16.248,20.033,15.692,16.575,17.379,17.706,15.209,NA,NA,NA,NA,NA,NA,NA
CE(22:3),17.882,19.227,17.772,17.492,18.504,16.903,18.305,18.889,18.463,17.559,16.080,18.852,16.813,19.729,18.682,19.655,17.154,19.603,19.176,19.354,20.771,18.143,20.020,18.930,18.176,18.740,16.584,19.201,19.366,19.199,18.289,18.703,19.057,19.712,19.437,18.785,18.351,17.648,19.909,17.973,19.078,18.471,20.052,18.888,20.274,18.992,20.082,19.902,18.999,19.003,18.620,19.366,16.322,18.820,17.616,18.336,20.804,19.636,18.432,21.115,19.253,20.132,17.928,20.065,19.388,20.179,21.304,20.318,19.466,18.998,19.029,18.031,19.820,16.780,20.060,17.925,18.207,18.419,19.031,16.720,NA,11.495,NA,11.959,11.724,NA,NA
CE(22:4),19.324,20.437,19.482,18.481,20.653,18.279,20.494,21.929,20.275,19.426,16.864,20.586,17.969,21.825,20.897,20.987,18.416,21.315,19.906,21.067,22.364,19.234,21.518,19.733,19.547,20.328,18.341,21.263,20.074,21.961,19.709,19.868,20.856,22.062,19.449,19.384,18.781,19.793,22.081,19.156,19.865,20.618,21.740,19.681,22.387,20.647,21.696,21.544,20.773,19.792,20.773,19.992,18.449,19.410,19.076,20.381,22.899,21.491,20.149,21.542,20.596,21.501,20.400,21.198,20.846,20.700,23.534,20.306,20.532,20.959,20.268,20.641,21.467,18.750,21.841,20.012,19.085,19.905,21.382,17.808,15.413,15.445,15.702,16.197,16.293,15.969,16.537
CE(22:5),18.211,19.640,18.544,18.204,18.436,17.696,18.247,20.468,18.856,18.421,16.680,18.194,17.058,20.816,19.491,20.112,17.349,20.690,19.179,18.850,21.042,18.267,21.770,19.999,18.943,18.896,17.310,19.146,20.157,20.943,19.120,18.617,18.821,19.908,18.643,18.704,19.390,17.989,19.984,17.263,19.348,18.795,20.073,18.322,21.193,20.673,20.858,19.541,20.203,18.436,18.442,20.055,16.082,19.333,17.905,18.212,21.589,21.114,19.366,20.993,18.908,18.439,17.933,20.466,19.905,21.034,22.867,19.819,20.793,19.444,19.530,17.693,20.237,16.105,19.897,17.914,19.095,18.311,20.266,15.896,12.686,14.039,13.112,14.593,13.555,13.964,13.945
CE(22:6),19.784,21.016,20.021,18.798,22.179,19.389,21.069,20.887,20.050,20.009,17.793,20.173,19.219,20.786,19.591,21.586,19.687,22.176,21.282,20.268,22.485,19.807,22.718,21.549,20.184,21.675,19.158,21.067,20.867,20.980,20.763,21.514,21.604,22.655,20.875,20.894,20.424,20.786,22.538,20.317,21.822,20.842,21.229,21.635,23.088,21.055,22.404,20.833,21.829,21.103,20.364,21.183,19.654,21.715,19.206,19.230,22.933,22.064,20.982,22.620,20.771,20.992,20.596,22.367,20.889,22.901,24.459,21.316,22.025,21.756,19.997,20.137,21.609,18.815,21.844,18.994,19.722,21.496,20.240,19.355,16.926,16.625,17.774,17.456,17.378,17.270,17.721
CE(24:1),16.039,18.818,14.212,15.334,17.720,14.019,17.605,17.462,17.445,17.278,12.018,15.611,14.213,17.374,15.899,17.385,15.307,19.367,15.944,18.039,17.339,15.878,17.463,17.424,18.181,18.430,13.586,17.723,18.202,18.415,16.744,17.163,17.043,18.579,18.331,17.251,16.912,18.174,18.882,16.918,18.507,18.563,19.130,18.921,18.250,16.548,18.737,18.191,18.886,16.596,17.664,17.047,15.290,16.766,16.535,17.825,19.521,19.159,18.274,19.001,18.632,NA,15.577,18.605,17.388,18.715,19.288,19.234,17.570,18.298,16.870,13.685,18.388,17.210,18.872,15.427,16.410,17.709,16.962,12.985,NA,NA,NA,NA,NA,NA,NA
Cer(d16:1/0:0),NA,12.543,10.811,11.335,12.003,NA,NA,NA,11.668,11.122,NA,NA,NA,12.670,12.246,10.760,13.143,12.285,NA,11.121,11.175,11.701,NA,11.669,12.158,11.781,NA,11.317,12.343,15.880,13.834,15.164,10.709,12.949,13.349,12.762,12.921,10.452,10.618,NA,10.456,13.639,13.090,12.822,12.287,12.144,11.517,NA,13.088,NA,11.313,NA,12.285,12.150,15.789,11.691,12.383,11.346,12.569,11.340,11.448,10.984,NA,12.693,11.566,12.093,11.420,11.132,11.355,13.163,11.577,NA,10.339,11.944,12.282,12.322,NA,12.403,NA,NA,NA,NA,11.323,11.264,12.283,11.842,NA
Cer(d18:0/0:0),13.230,14.900,12.755,13.688,14.208,12.813,12.712,15.749,14.288,14.329,14.276,13.382,14.912,14.433,14.092,13.749,14.276,15.722,13.899,13.285,14.214,13.277,13.872,13.863,15.195,15.508,12.911,14.434,15.135,18.537,13.563,15.044,13.502,14.001,14.329,14.586,14.436,13.348,15.019,14.288,14.752,14.825,15.232,14.798,15.088,13.983,14.520,14.470,15.285,14.042,14.179,14.100,14.632,13.934,16.052,14.129,15.692,14.415,15.204,15.240,15.437,14.756,13.149,14.553,14.537,14.687,14.261,14.830,13.703,15.070,13.833,13.487,13.994,14.921,14.153,15.785,13.768,14.817,14.045,13.792,14.216,13.850,14.503,14.578,15.344,14.497,14.390
