Lipid,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-03968,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01366,C3N-01368,C3N-01369,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
PC(16:0/18:2)_B,22.059,21.479,22.655,22.269,21.979,22.282,21.091,23.146,22.289,22.747,23.749,23.813,23.913,23.420,22.991,23.807,22.170,22.068,22.874,21.517,24.421,22.732,24.447,21.579,21.126,22.179,22.778,22.633,21.921,21.474,22.395,21.836,21.945,21.877,21.234,21.943,22.008,21.881,22.044,21.499,22.832,21.089,21.601,21.366,22.948,22.180,22.171,22.966,21.259,22.198,22.549,22.995,23.377,22.616,20.881,21.852,22.231,22.470,22.094,22.209,21.500,22.966,23.809,21.204,22.088,21.732,22.570,20.189,22.176,21.215,21.765,23.613,22.198,20.700,21.880,22.006,22.296,21.475,23.558,22.719,24.130,23.900,23.600,24.173,23.941,23.910,24.094
PC(16:0/18:3)_A;PC(16:1/18:2)_B,20.326,19.942,21.003,20.445,20.898,19.544,20.028,20.590,20.285,20.162,21.223,21.952,21.701,20.380,21.005,20.958,20.491,19.944,21.105,20.434,22.021,20.087,21.283,19.486,19.744,20.924,21.271,21.133,20.178,19.889,20.502,20.485,20.391,19.846,19.932,20.731,19.629,20.633,21.545,20.601,20.307,19.297,20.196,19.332,22.112,20.118,20.416,20.851,19.721,21.208,21.043,20.787,20.170,20.284,18.664,19.843,21.359,20.022,20.068,20.224,20.922,20.504,20.711,18.639,20.853,20.661,20.422,21.152,20.106,20.212,20.150,21.932,20.498,19.134,21.101,20.699,21.084,20.516,21.161,21.262,21.706,21.399,21.072,20.489,20.912,20.910,20.975
PC(16:0/18:3)_B,21.792,21.431,22.595,21.328,21.259,21.462,20.120,21.383,21.390,21.255,22.344,23.127,22.363,21.573,21.934,23.062,21.349,21.087,22.636,21.000,22.836,21.510,21.268,20.415,19.153,21.778,22.659,21.461,20.672,20.334,21.937,20.922,21.030,20.942,20.264,21.318,20.830,20.952,21.013,20.594,21.303,17.893,21.256,19.699,22.780,20.737,21.288,22.195,20.761,20.340,22.002,22.323,21.361,22.006,19.116,20.665,21.317,21.571,21.081,21.641,21.606,20.923,21.527,20.231,21.833,21.180,21.451,20.935,21.617,20.400,21.489,23.868,21.448,19.013,20.934,21.780,22.384,20.992,22.818,22.824,22.254,22.065,22.036,21.225,21.872,21.323,22.177
PC(16:0/20:3)_A,24.854,23.815,24.869,24.159,24.133,23.969,23.555,24.001,24.771,24.530,25.361,25.457,25.406,24.801,24.623,24.869,24.292,24.177,24.813,24.095,24.752,24.243,24.107,23.501,23.432,24.479,25.063,25.260,24.466,23.610,24.214,24.112,24.114,23.772,24.071,24.475,24.077,24.120,24.201,24.175,24.230,22.572,24.392,23.734,25.025,24.181,24.376,24.690,23.601,24.451,24.968,25.322,25.200,24.967,22.753,23.863,24.990,24.335,24.097,24.957,24.154,24.503,24.507,23.399,24.608,24.904,24.862,24.769,24.906,23.428,23.855,25.563,24.534,22.573,24.615,25.228,24.598,23.692,25.810,24.951,24.657,24.741,25.347,24.604,24.907,24.754,25.407
PC(16:0/20:3)_B,20.834,19.240,20.432,20.602,19.235,20.125,19.579,20.918,20.875,20.389,22.082,21.116,21.437,20.960,21.347,20.690,20.568,20.222,20.112,19.387,21.873,21.031,22.320,19.471,19.270,20.017,20.394,19.593,19.937,19.784,20.398,19.330,20.125,19.990,19.360,20.132,20.836,19.409,19.628,20.140,21.357,18.424,19.145,19.063,19.875,20.952,19.790,20.799,18.600,18.503,20.075,20.677,22.692,21.291,19.097,19.985,19.584,20.698,20.265,19.853,18.855,21.677,22.433,18.819,20.011,20.040,20.232,19.718,20.504,18.443,19.097,21.501,19.833,18.078,19.089,22.398,19.920,18.434,21.563,19.805,19.922,21.389,21.350,22.210,20.959,21.011,22.188
PC(16:0/20:4),25.688,24.862,26.233,25.461,25.395,25.272,25.440,26.410,25.457,25.414,26.415,26.928,25.747,26.562,26.363,25.549,26.126,25.104,25.508,25.175,26.345,25.005,25.384,24.412,24.560,24.695,26.423,26.039,25.235,25.166,25.238,24.977,25.134,25.505,24.433,25.082,25.132,25.423,25.753,24.500,25.165,24.311,25.350,24.525,26.115,25.774,25.734,25.596,24.607,25.194,25.421,25.379,26.291,25.455,24.697,25.204,26.027,25.503,24.628,25.941,24.736,25.375,25.964,24.828,25.838,25.377,26.318,24.891,25.953,24.625,25.138,27.079,25.536,24.072,25.579,27.057,24.887,24.728,26.401,25.509,25.824,26.286,26.581,26.432,26.510,26.357,26.859
PC(16:0/20:5),20.453,21.394,21.629,21.258,20.492,20.139,20.372,19.953,20.726,20.092,20.218,23.421,21.413,20.837,20.933,21.166,21.299,21.511,21.371,21.035,21.810,20.695,20.752,19.757,19.376,21.782,21.710,21.384,20.255,18.976,20.800,21.503,21.279,20.998,21.019,21.470,19.950,22.007,22.307,NA,21.528,20.153,20.435,21.207,21.353,19.746,20.393,20.300,20.220,20.502,20.785,20.488,22.185,21.443,19.272,20.631,21.859,20.574,21.042,20.855,20.342,22.024,22.704,18.824,20.506,21.178,22.736,20.243,21.058,20.018,19.993,23.232,20.606,19.504,21.743,22.560,19.604,20.927,20.223,21.023,20.920,21.110,21.858,20.382,21.123,20.505,21.401
PC(16:0/22:1);PC(18:0/20:1),19.883,19.669,20.154,19.834,19.579,19.713,19.851,21.637,21.505,21.653,22.787,19.928,21.138,20.197,20.472,19.945,20.714,20.478,20.118,19.930,19.467,19.895,21.331,20.343,21.163,20.233,20.380,21.372,20.388,21.190,20.280,19.777,20.445,20.164,20.065,20.859,20.585,20.465,19.953,20.742,19.844,20.219,19.875,19.622,19.919,19.863,21.296,19.979,20.341,20.405,21.625,20.994,22.225,20.162,20.001,19.603,20.869,20.160,20.954,19.713,20.602,21.269,21.735,19.581,20.690,20.937,20.984,20.415,20.478,19.452,19.786,20.501,20.851,20.634,20.477,20.382,20.040,20.270,21.470,20.845,22.223,22.969,23.289,23.372,22.211,23.124,23.598
PC(16:0/22:4),24.109,22.479,24.488,22.942,22.170,23.144,22.925,25.086,23.985,23.887,24.844,24.648,23.845,24.554,24.363,23.878,23.445,22.844,23.313,22.881,24.575,23.313,23.874,22.018,22.723,22.722,24.174,24.226,22.703,23.507,22.916,22.199,23.225,23.467,21.533,22.332,22.729,23.014,22.910,23.194,21.854,22.004,23.286,21.079,23.151,23.795,23.835,24.181,22.487,22.705,23.854,23.391,24.853,22.501,22.639,22.924,23.779,22.998,23.075,23.153,22.743,24.001,24.498,22.542,23.290,22.296,23.601,23.046,23.500,22.459,22.955,24.690,23.422,22.512,23.922,24.528,22.712,22.595,24.530,24.339,24.103,24.734,24.951,25.027,25.031,24.953,25.510
PC(16:0/22:5),22.396,20.653,22.182,22.173,20.292,21.549,20.430,24.037,22.139,22.103,23.363,22.362,21.953,23.077,22.534,22.337,21.078,21.277,21.544,20.515,21.770,21.530,22.731,21.079,21.325,20.054,22.397,21.488,21.924,20.881,21.128,20.598,20.840,20.792,20.267,20.865,22.272,20.911,20.970,20.754,20.651,19.934,21.047,21.047,21.628,23.195,22.867,21.191,20.675,20.204,21.114,21.985,21.992,21.485,21.221,20.996,21.444,21.862,20.689,21.801,20.304,21.069,21.950,21.064,21.897,21.716,21.790,20.609,22.143,20.617,21.418,22.330,21.498,20.008,21.097,23.058,22.219,20.275,22.745,21.101,21.629,23.020,22.009,23.838,22.726,23.490,23.463
PC(16:0/22:6),24.339,23.024,24.738,23.497,24.095,23.797,23.426,25.413,24.386,25.099,25.095,24.041,24.882,24.175,24.305,24.578,24.094,23.812,24.271,23.007,24.171,23.693,23.862,23.177,23.199,24.293,24.383,24.232,23.544,21.933,23.996,23.937,23.663,23.198,23.336,23.619,23.413,24.346,23.082,23.223,24.069,22.700,23.736,22.992,24.402,24.193,24.816,24.045,23.202,23.758,24.764,24.326,25.219,24.499,23.187,23.171,23.986,24.137,23.503,24.279,23.439,24.625,25.187,23.724,24.419,23.988,24.881,23.373,24.486,22.882,23.499,24.744,23.807,22.651,23.295,24.465,23.621,24.227,24.935,24.774,25.291,25.541,25.985,25.726,25.512,25.726,26.171
PC(16:0/24:0),18.088,17.667,17.613,16.917,17.225,17.251,17.010,15.923,17.333,17.910,18.699,17.724,16.811,18.146,16.658,17.159,17.280,17.469,16.790,17.395,17.466,17.358,19.469,17.696,17.874,17.426,17.618,18.842,18.743,17.893,17.253,16.687,17.298,17.550,18.577,17.421,16.904,17.949,16.598,18.932,16.914,17.954,18.031,17.237,17.674,16.810,16.631,17.883,18.012,16.113,17.948,17.376,17.950,16.515,17.060,17.223,18.526,17.428,18.427,18.014,18.050,16.974,17.063,16.939,17.755,16.980,17.393,18.381,17.288,16.779,18.602,16.954,18.676,19.046,16.651,18.697,16.850,17.106,18.114,17.849,16.943,17.771,17.887,18.621,18.417,18.509,18.099
PC(16:0/24:1),18.388,18.876,17.908,17.590,17.762,17.680,17.809,17.335,19.461,20.294,21.066,18.149,18.740,18.631,17.821,17.927,18.893,19.091,18.280,17.896,17.850,18.269,21.326,19.503,20.246,19.375,18.338,20.509,19.181,19.845,18.017,17.747,18.365,18.359,18.966,19.480,18.314,18.972,18.568,18.974,18.139,19.371,18.484,17.895,17.972,18.397,18.628,18.335,19.587,17.646,20.302,19.173,20.138,17.736,18.082,17.989,19.834,18.216,20.405,18.192,19.501,18.343,19.090,17.547,18.460,18.517,19.055,19.037,18.119,17.791,18.526,17.852,20.597,20.526,18.178,18.325,18.310,18.571,19.819,19.999,19.814,20.486,20.670,21.147,21.066,21.438,21.130
PC(16:0/24:4),21.705,19.550,19.990,20.698,20.603,20.882,19.536,22.236,20.089,19.984,21.766,20.110,21.222,21.315,21.412,20.258,21.072,20.424,21.009,20.465,20.367,19.936,20.314,20.065,19.807,19.357,21.707,20.797,21.157,19.740,20.434,20.065,20.971,19.482,20.515,20.576,21.352,20.946,20.586,20.100,20.685,19.197,19.493,19.326,22.559,21.371,22.052,20.625,20.085,20.592,19.559,20.761,20.393,20.939,19.366,19.313,20.584,19.655,19.878,21.420,20.107,20.168,20.603,19.414,20.822,21.875,20.560,21.391,21.137,19.452,20.517,20.033,20.429,20.094,20.421,20.514,21.610,20.152,21.128,22.370,19.603,20.275,20.548,20.833,21.140,20.314,21.109
PC(16:0/26:0),16.514,17.229,16.892,15.707,15.635,15.979,15.207,14.514,17.811,18.337,19.232,15.729,15.903,15.964,14.894,16.894,15.928,18.017,17.638,15.471,15.908,17.712,21.152,18.058,18.472,18.681,15.980,19.161,16.906,18.220,16.511,16.051,15.779,16.667,16.779,16.411,15.871,16.847,15.400,17.368,15.141,17.203,16.361,15.644,16.359,16.266,17.126,16.989,18.301,14.549,18.703,17.682,19.086,15.932,15.529,16.651,19.124,16.734,19.146,16.147,18.228,16.809,17.040,15.678,16.904,16.027,18.191,17.121,16.518,15.215,17.581,16.284,20.062,19.188,15.173,17.596,16.525,17.354,19.057,18.629,17.986,18.520,18.980,19.527,19.530,19.783,19.243
PC(16:0/26:1);PC(18:1/24:0),18.212,19.533,18.269,17.391,17.439,17.326,17.353,16.279,20.383,21.553,22.205,18.023,17.857,17.821,16.864,18.879,18.112,20.380,19.632,17.632,17.389,19.482,23.172,20.551,20.795,20.686,17.786,21.363,19.034,20.260,18.734,18.041,18.344,18.562,18.640,18.878,17.833,19.124,17.765,18.991,17.837,19.829,18.340,17.620,17.717,18.551,19.366,18.884,20.732,16.219,21.472,20.107,21.558,18.019,17.408,18.259,21.233,19.118,21.741,17.978,20.369,19.110,19.519,17.640,19.192,18.294,20.495,19.133,18.563,17.176,18.972,17.367,22.158,21.563,17.217,18.095,18.810,19.586,21.295,21.384,20.629,21.724,21.540,22.586,22.332,22.601,22.154
PC(16:1/0:0)_A,18.417,16.389,17.151,16.455,17.534,17.205,16.622,17.155,15.958,15.626,15.138,18.684,18.282,17.743,17.716,17.413,17.929,16.768,17.530,17.928,19.049,16.787,16.508,16.014,15.678,16.697,17.383,15.766,16.731,16.856,16.867,15.801,17.604,16.783,17.239,16.488,17.791,15.726,17.429,17.623,18.096,16.498,16.411,17.602,17.918,17.272,16.476,18.216,15.165,16.982,16.112,15.440,15.992,17.867,17.909,17.452,15.365,15.531,15.174,17.088,16.683,17.408,17.978,16.132,16.308,17.509,17.345,15.661,17.498,18.119,16.416,17.999,15.855,14.894,17.068,16.633,17.164,16.046,16.129,15.244,18.749,19.248,18.680,18.788,18.491,18.760,19.360
PC(16:1/0:0)_B,17.506,17.358,17.225,16.488,17.760,16.925,16.481,17.381,16.890,16.569,16.235,18.508,18.587,17.156,17.746,17.699,17.385,17.242,17.379,17.457,18.943,16.987,17.660,16.337,17.213,17.334,17.464,17.120,16.521,17.800,16.707,16.037,17.245,17.118,16.872,17.387,17.056,15.832,17.880,17.239,17.961,16.068,16.866,17.068,17.028,17.570,17.026,17.865,16.412,17.270,17.084,15.944,16.708,17.614,17.541,17.345,16.943,16.633,16.639,17.248,16.930,17.361,17.649,16.192,16.634,16.604,18.160,16.368,17.140,16.431,16.721,17.862,17.068,16.021,16.703,16.214,16.763,16.749,16.812,16.144,18.608,18.807,18.557,18.763,18.107,18.471,19.156
PC(16:1/16:1)_A,18.117,17.343,19.614,18.176,18.149,17.081,16.418,17.531,17.879,18.559,19.385,19.784,19.480,16.859,17.891,20.336,18.617,18.412,18.909,18.744,20.017,17.793,19.859,16.645,16.935,19.628,18.925,18.874,17.733,18.017,18.892,16.349,18.276,17.416,17.839,20.289,17.901,17.691,20.168,18.394,18.753,15.774,17.025,17.666,18.774,18.651,17.501,18.557,17.527,18.539,19.013,18.659,18.947,18.647,15.965,16.667,18.835,16.667,19.235,17.285,18.347,18.710,18.528,14.984,17.232,17.958,19.615,17.886,18.190,17.508,17.582,17.909,18.374,15.393,18.639,16.683,18.769,17.429,18.455,19.118,20.172,21.754,18.555,18.932,18.801,20.051,18.520
PC(16:1/16:1)_B;PC(14:0/18:2),20.054,20.478,20.962,20.599,21.451,19.086,20.231,20.153,20.942,20.343,22.004,22.069,22.346,19.334,21.138,22.189,21.019,19.782,21.265,21.209,21.867,20.660,20.397,19.360,20.331,21.749,21.227,22.036,20.024,20.043,21.194,19.705,21.029,19.748,20.263,21.476,19.799,20.660,22.281,21.534,20.801,19.390,20.175,19.627,21.834,20.332,20.616,20.839,20.407,22.240,21.768,20.768,20.683,21.317,19.286,19.310,21.282,19.142,20.865,19.938,20.953,20.821,21.574,18.275,20.558,20.751,21.321,20.824,20.756,20.037,20.466,21.167,20.873,19.122,21.410,21.280,21.508,20.668,21.072,22.567,21.568,22.625,21.386,20.453,21.227,21.100,21.230
PC(16:1/17:1);PC(15:0/18:2),19.996,19.474,19.254,19.757,20.203,19.044,20.041,18.764,19.413,19.484,20.073,19.140,20.334,18.728,19.621,19.437,19.203,19.269,19.851,19.784,19.118,18.558,19.008,18.711,19.241,19.565,19.804,20.939,19.028,19.381,19.370,19.112,19.929,18.602,19.708,19.366,19.377,19.394,21.048,19.513,19.538,19.281,19.198,18.975,21.048,18.556,20.103,19.020,19.521,20.922,20.176,19.593,19.045,19.434,18.069,19.095,20.873,18.684,19.654,18.741,20.070,18.489,19.394,18.047,19.430,19.878,19.117,20.094,19.077,19.342,18.746,20.181,20.187,19.118,20.549,18.535,20.022,19.331,19.775,20.136,20.024,19.999,19.585,18.996,19.643,19.117,19.248
PC(16:1/18:1),21.871,20.819,22.500,21.687,22.651,21.441,21.005,22.255,21.500,22.643,23.596,22.960,24.769,21.593,21.984,23.095,23.023,22.135,22.724,22.265,23.188,21.402,23.540,21.897,21.669,23.253,22.909,22.930,22.572,21.863,22.643,21.515,22.483,22.176,22.442,23.218,22.492,22.228,23.822,22.519,23.022,20.623,21.415,21.914,22.921,22.430,22.305,22.434,21.591,23.019,22.617,22.624,22.628,22.706,21.359,21.315,22.920,21.508,22.430,21.889,21.953,22.863,22.766,20.364,21.550,23.098,23.342,22.724,21.993,21.703,21.234,22.515,22.398,20.548,22.964,20.819,22.442,21.590,22.720,22.548,23.540,24.595,22.800,23.350,23.281,23.768,22.989
PC(16:1/18:2)_A,20.521,20.164,21.922,20.381,21.677,19.913,20.347,20.382,20.616,20.361,21.740,20.993,21.766,19.146,20.781,20.951,20.775,20.777,21.652,21.260,20.341,19.722,20.599,19.196,20.339,21.519,21.726,21.899,20.283,20.674,21.028,20.060,20.998,19.608,19.994,21.208,19.834,20.957,23.068,20.957,20.406,19.829,20.064,20.492,23.392,20.660,21.432,20.564,20.957,22.596,21.910,21.071,20.896,21.186,18.622,20.191,22.122,19.746,21.071,21.046,21.843,20.171,19.801,19.371,20.865,21.512,21.826,21.149,20.964,21.364,20.391,21.732,21.273,19.469,23.005,20.329,21.728,21.267,21.394,22.462,22.716,22.671,20.662,20.190,21.122,21.580,20.550
PC(16:1/20:4)_A,20.570,20.226,21.523,21.409,20.377,20.361,19.409,20.307,21.038,20.801,21.871,22.602,21.298,20.850,21.716,22.354,21.657,19.904,21.281,20.440,22.287,20.417,21.220,18.791,19.757,21.392,21.972,21.889,19.767,19.907,21.151,19.025,20.472,19.836,19.120,20.938,19.886,20.377,21.715,19.818,21.016,17.795,20.128,19.138,20.980,21.111,20.758,20.909,20.067,20.296,21.210,20.727,21.957,21.341,18.905,19.638,21.093,19.451,20.781,20.626,20.078,20.420,21.811,17.884,20.048,20.084,22.160,19.825,20.795,18.908,20.843,21.832,20.983,17.865,20.861,20.337,21.474,19.818,21.532,21.358,21.898,23.063,22.224,22.154,21.972,22.197,22.376
PC(16:1/22:4),19.123,17.526,19.767,18.541,17.536,17.963,18.751,19.635,18.518,17.626,18.773,20.125,21.139,19.353,19.423,19.599,18.903,17.905,18.368,18.757,21.079,17.691,19.109,17.090,18.343,18.361,19.196,18.800,18.001,19.616,18.080,17.129,19.083,19.778,17.225,17.737,18.060,18.370,19.396,19.366,17.953,16.566,18.840,17.039,18.654,19.703,18.888,19.617,17.880,18.663,18.245,18.787,17.602,17.700,17.702,18.610,18.736,17.764,17.744,18.416,18.269,19.857,19.944,17.633,18.414,17.787,18.905,19.328,18.001,18.754,18.354,20.274,18.082,16.762,20.255,17.978,18.555,17.218,18.611,19.165,18.203,18.674,18.512,18.685,18.419,18.208,19.213
PC(16:1/22:6)_A,18.178,17.707,19.559,17.967,18.551,17.916,16.948,19.274,18.476,18.540,19.184,19.241,20.097,17.564,18.314,20.805,19.003,17.979,19.004,17.726,20.005,18.104,19.904,17.254,17.887,20.445,19.294,19.552,18.081,16.890,18.930,17.390,18.188,17.238,17.717,19.112,17.615,18.611,18.678,17.842,19.384,15.808,17.830,17.584,18.858,18.624,18.935,18.291,17.901,18.533,19.313,18.508,19.079,19.433,16.955,17.147,19.097,17.927,18.751,18.494,18.026,18.877,19.563,16.391,18.140,18.321,19.619,18.234,18.507,16.725,17.637,18.544,18.522,16.265,18.344,17.326,18.656,18.341,18.910,19.344,20.454,20.784,20.113,19.821,19.418,20.602,19.959
PC(16:1/22:6)_B,16.845,16.103,17.327,17.486,16.310,16.589,15.868,18.874,18.327,18.090,18.423,17.581,18.044,17.340,17.649,17.880,16.399,15.928,17.318,15.587,18.713,17.747,17.578,15.764,16.492,17.234,17.052,17.575,16.304,14.657,16.832,16.251,16.384,15.487,15.490,16.088,16.190,16.723,15.691,16.149,16.729,14.577,17.074,14.713,16.687,16.880,17.604,16.739,15.745,16.517,17.229,16.818,17.979,17.455,15.406,15.367,16.283,17.044,16.158,16.575,15.962,17.101,18.609,15.724,17.516,15.819,17.157,15.183,17.016,14.864,16.408,17.783,16.810,14.822,16.212,17.114,17.078,16.680,17.932,17.397,18.799,19.510,19.902,19.768,18.889,19.310,20.274
PC(16:2/16:0),19.456,19.447,19.799,20.254,19.815,19.594,18.961,21.062,19.942,19.995,21.788,23.214,22.517,21.458,21.700,21.284,21.240,18.914,20.897,19.979,22.615,21.473,21.936,19.862,19.356,20.132,21.004,20.154,20.132,20.553,21.154,17.962,20.399,20.024,19.660,19.671,20.782,19.274,20.233,20.500,20.761,16.436,20.645,18.505,18.725,20.338,19.655,21.871,18.594,18.779,20.238,20.865,20.569,20.553,18.994,18.799,19.751,20.187,20.102,18.804,19.564,22.146,22.591,17.830,20.548,18.602,20.197,19.082,19.749,17.920,18.958,21.324,20.704,17.402,18.024,18.856,21.108,19.088,21.618,20.317,20.318,21.568,21.274,21.858,21.065,20.768,21.905
PC(17:0/0:0)_A,15.725,15.378,14.084,14.707,15.243,15.360,14.504,14.204,14.985,14.450,15.106,14.871,14.870,14.546,15.707,14.490,15.455,14.470,13.826,14.540,14.681,15.154,15.619,14.559,14.833,13.747,14.231,15.238,14.642,17.106,14.800,15.111,15.045,14.935,14.999,15.101,15.527,13.881,15.744,14.810,15.268,15.557,15.001,14.650,14.906,14.391,15.639,14.852,14.850,14.761,14.582,14.372,14.613,15.189,16.105,14.665,15.123,15.336,14.661,14.343,14.126,13.114,14.854,15.619,14.464,14.568,14.514,13.190,14.719,15.249,14.892,15.479,15.381,16.509,13.968,15.188,13.798,14.493,14.985,13.977,14.848,14.902,16.527,15.706,15.354,14.995,16.376
PC(17:0/0:0)_B,16.167,17.206,15.380,15.504,16.697,16.048,16.075,15.810,17.149,15.929,16.157,15.454,15.796,15.477,16.527,15.821,15.472,16.625,15.664,16.066,15.580,15.513,17.406,16.280,16.742,15.610,15.638,16.883,15.555,19.220,15.486,16.414,16.000,15.733,15.887,15.742,16.130,14.758,15.948,15.785,15.507,16.989,16.742,15.418,16.103,15.852,17.164,16.031,16.635,16.378,17.238,15.668,16.658,15.622,17.273,15.776,18.018,17.135,16.761,15.920,16.348,14.934,16.515,16.680,16.156,15.552,16.384,15.429,16.156,15.315,16.032,17.001,17.356,18.871,15.625,15.915,14.724,16.497,17.362,15.725,17.047,16.394,17.893,17.289,17.275,16.728,17.862
PC(17:0/18:1),22.747,22.197,22.519,NA,21.777,22.281,21.996,23.211,22.789,23.938,24.540,22.253,23.924,22.660,23.014,22.835,22.540,22.917,22.865,21.560,21.648,22.000,23.433,22.705,22.866,22.598,22.862,23.569,22.121,21.550,22.361,22.105,23.206,22.110,NA,21.946,23.150,22.386,22.774,22.205,23.152,22.195,22.303,21.287,22.592,22.049,23.736,22.570,23.013,22.957,24.006,23.278,24.058,22.690,21.533,21.545,NA,18.298,23.441,22.109,22.786,NA,23.728,21.095,22.272,22.459,22.971,NA,22.727,21.300,21.803,23.140,23.712,22.846,22.083,21.682,22.352,22.216,23.686,23.312,24.103,24.503,24.925,24.948,25.123,NA,25.100
PC(17:0/20:4),20.793,20.774,21.406,20.757,19.800,20.436,20.781,20.789,21.220,20.993,21.987,21.570,20.881,21.139,21.779,20.675,20.664,20.781,20.424,20.175,20.261,19.475,20.385,19.659,20.616,19.697,20.799,21.821,20.349,21.420,20.440,19.919,20.494,20.261,19.682,19.970,20.382,20.365,20.334,19.311,20.276,20.091,20.865,19.366,20.704,20.539,21.690,20.550,20.635,20.113,21.416,20.427,22.052,19.879,19.380,20.085,21.736,20.835,20.470,20.426,19.993,20.289,21.700,19.432,21.137,19.529,20.999,20.175,20.791,19.424,20.433,21.948,21.297,20.101,20.096,21.292,19.674,19.914,21.726,21.015,21.576,21.716,22.938,22.421,22.326,22.037,22.793
PC(17:0/22:6),18.897,18.249,18.986,17.978,17.645,18.295,18.157,19.364,19.088,20.122,19.887,17.929,19.366,18.130,18.703,18.647,18.066,18.638,18.342,17.296,17.476,17.633,18.080,18.253,19.074,18.281,18.505,19.227,18.197,17.521,18.322,18.131,18.401,17.404,18.115,18.015,18.153,18.451,17.343,17.768,18.409,18.022,18.931,17.261,18.387,18.152,20.085,18.297,18.726,18.065,20.073,18.939,20.258,18.497,17.402,17.355,19.559,18.939,18.897,18.058,18.089,19.056,20.045,17.827,19.111,18.000,18.986,18.389,18.828,17.229,17.869,18.839,19.560,18.381,17.648,18.203,17.733,18.845,19.560,18.921,20.161,20.395,21.645,21.103,20.479,20.877,21.566
PC(17:1/0:0),13.754,14.968,12.747,12.401,13.510,NA,12.777,13.675,13.845,14.158,13.173,13.026,13.737,12.298,13.295,13.235,13.196,14.752,12.931,12.683,13.389,12.747,13.985,13.687,14.999,13.512,13.099,14.118,12.477,16.459,12.692,12.435,13.178,12.708,12.844,12.168,13.651,11.719,14.190,13.572,13.713,14.174,13.540,12.646,12.894,13.055,13.963,13.779,14.264,13.386,15.066,12.683,13.918,13.290,13.453,13.372,14.900,13.831,14.350,12.849,13.663,12.659,13.577,12.047,12.720,12.792,14.122,12.815,12.879,12.106,12.646,13.667,15.327,14.679,13.276,11.950,12.893,13.104,13.891,13.139,14.725,15.295,15.723,15.739,15.106,14.882,16.340
PC(17:1/18:1),20.243,20.003,19.873,19.658,19.620,19.775,19.458,20.166,20.346,22.089,22.752,19.804,22.146,19.390,20.271,20.440,20.358,21.036,20.548,19.757,19.598,19.165,21.349,20.324,20.790,21.245,20.212,21.246,19.623,21.069,20.246,19.425,20.720,19.786,19.820,19.936,20.764,20.224,21.496,20.389,21.014,20.055,19.719,19.170,20.388,19.981,21.092,20.195,20.867,20.861,21.835,20.908,21.766,20.014,18.967,19.046,21.188,19.583,21.727,19.377,20.575,20.318,21.152,18.049,19.989,20.095,20.896,20.534,19.791,19.285,19.055,20.387,21.945,20.507,20.428,19.090,20.333,19.639,21.101,21.411,21.839,23.053,22.250,22.720,23.025,22.251,22.908
PC(17:1/20:4),18.121,17.734,18.337,17.533,17.517,17.357,17.723,17.594,18.073,18.570,18.650,18.812,18.731,17.888,18.493,18.337,18.683,17.997,17.866,17.589,18.251,16.891,17.959,16.843,18.049,18.103,18.525,19.328,17.391,18.772,18.194,16.360,18.004,17.220,16.855,17.447,17.766,17.752,19.236,17.435,18.269,16.586,18.021,16.251,18.002,17.478,18.469,17.627,18.127,18.219,18.568,17.889,18.593,17.602,16.177,17.130,19.023,17.408,18.401,17.605,17.780,17.222,18.387,15.514,17.646,17.349,18.330,17.886,17.490,16.897,17.381,18.973,19.349,17.132,18.646,17.372,17.778,16.483,18.737,17.782,18.343,19.102,19.466,19.430,19.109,18.769,19.427
PC(18:0/18:1),25.001,25.016,26.038,25.154,25.616,25.608,25.343,27.668,26.207,26.537,27.712,26.434,26.952,26.136,26.295,25.483,25.516,25.871,26.254,25.103,25.491,25.367,26.669,25.719,25.280,25.548,26.167,26.449,25.571,25.253,25.438,25.688,26.063,25.858,25.291,25.657,26.009,25.608,25.469,25.639,25.447,25.128,25.141,25.105,26.045,25.322,26.454,25.640,25.427,25.547,26.557,26.371,27.004,25.939,25.330,24.846,26.614,25.645,26.041,25.563,25.787,26.207,26.852,24.670,25.924,26.422,26.424,25.106,26.092,25.045,25.305,26.611,26.021,25.759,25.705,25.884,25.527,25.427,26.647,26.416,26.889,27.348,27.203,27.474,27.485,27.244,27.713
