Lipid,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01366,C3N-01368,C3N-01369,C3N-01370,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
Cer(d18:1/23:0),19.371,21.167,19.252,19.278,18.899,18.975,19.220,18.077,19.502,20.303,19.572,18.760,17.931,19.357,18.954,19.373,17.913,20.380,18.434,19.643,17.809,20.242,20.673,20.657,20.281,19.907,17.913,19.235,19.716,19.418,20.627,19.444,20.322,20.001,19.146,18.827,19.268,17.097,19.761,18.287,21.275,20.318,20.221,18.728,18.282,19.005,19.054,19.922,20.733,17.860,19.914,19.245,19.792,17.884,20.615,19.486,20.511,20.913,20.054,18.218,20.528,18.637,19.199,21.456,19.553,18.951,18.728,19.134,19.442,20.266,19.455,18.814,19.885,21.889,19.423,18.630,18.877,20.401,20.002,19.844,19.028,19.078,18.887,19.330,20.023,19.421,18.838
Cer(d18:1/24:0),21.342,21.506,21.069,21.326,21.201,21.804,21.275,20.492,20.323,20.551,20.411,21.537,20.835,20.945,20.383,20.677,20.139,21.286,20.212,21.950,20.929,20.966,21.892,21.412,20.882,21.207,20.684,20.335,21.502,21.106,22.101,21.205,22.493,21.651,20.810,21.194,20.946,20.344,21.545,20.348,21.518,20.825,21.379,21.057,21.047,20.715,20.072,20.572,21.549,20.141,20.367,21.006,20.005,20.471,22.732,21.072,21.288,21.562,20.946,20.906,21.554,19.866,20.012,22.859,20.831,20.712,20.334,21.042,21.084,22.539,21.343,20.941,20.937,22.141,21.456,20.493,20.176,21.210,21.032,20.840,18.967,19.375,19.066,19.862,20.500,19.871,19.266
Cer(d18:1/24:1),22.104,22.772,21.432,22.139,21.568,22.018,21.733,21.566,21.839,23.281,23.001,21.714,21.959,21.399,21.078,21.432,21.412,22.538,21.391,22.450,21.540,22.183,23.345,23.232,22.894,22.571,21.438,21.960,22.199,21.700,23.558,21.593,23.207,22.416,22.305,22.445,22.259,21.622,22.031,21.364,23.309,23.490,22.179,21.840,21.338,22.103,21.596,21.316,23.068,21.568,22.505,22.252,22.193,21.382,23.865,21.965,22.562,22.271,23.302,21.175,22.789,21.112,21.580,23.514,21.780,22.190,22.329,21.990,21.886,23.141,21.851,21.271,22.489,23.932,22.248,20.684,21.351,22.678,22.333,22.608,21.745,22.358,22.189,22.670,22.814,22.764,22.433
Cer(d18:1/25:0),17.057,19.340,17.480,16.914,16.314,16.283,16.610,15.079,17.943,19.047,18.301,16.427,15.597,16.683,16.279,17.438,15.394,18.996,16.765,17.135,15.524,18.400,20.025,19.351,18.766,18.311,15.032,17.345,17.388,17.342,17.974,16.798,18.051,17.297,16.865,16.259,17.033,15.428,17.790,15.920,19.495,19.254,17.830,16.488,15.734,16.746,17.451,17.817,19.317,14.991,18.672,18.043,18.272,15.909,17.444,17.168,19.167,19.005,18.825,15.479,18.978,16.837,17.031,18.883,17.830,16.388,17.579,17.385,17.243,17.353,17.368,17.101,18.923,20.359,15.911,16.772,16.549,18.818,18.728,19.089,17.329,18.101,17.300,18.304,18.768,18.032,17.519
Cer(d18:1/26:0),16.532,17.486,17.114,16.875,16.441,16.796,16.372,16.015,16.523,16.795,16.618,17.605,16.767,16.014,15.312,16.250,15.302,17.513,16.105,17.714,16.186,17.168,18.269,17.556,16.933,17.247,16.450,16.121,16.790,16.484,17.691,16.101,18.342,16.842,16.058,15.455,16.484,15.768,16.770,15.698,17.587,16.967,17.159,16.229,16.443,16.167,15.554,15.813,17.257,14.973,16.588,16.486,16.132,15.891,17.873,16.285,17.909,17.572,16.478,16.052,17.526,15.677,15.691,18.014,16.382,15.611,16.005,16.660,17.176,17.405,16.991,17.267,17.535,18.371,16.008,16.099,15.065,17.591,17.240,17.120,15.182,15.898,15.514,16.042,16.241,15.682,15.435
Cer(d18:1/26:1),17.407,19.645,17.946,17.551,17.180,16.304,17.443,16.479,19.137,20.113,20.036,16.995,18.125,16.590,16.182,18.128,17.234,19.732,18.182,18.240,16.985,19.109,21.465,19.970,19.896,19.871,17.291,18.711,17.313,17.533,19.108,16.436,19.146,17.778,18.059,17.743,18.478,17.756,17.441,16.987,19.871,20.749,18.232,17.296,16.245,18.269,17.938,17.442,20.120,15.705,19.461,18.791,19.572,17.285,19.223,18.021,19.601,18.952,20.060,15.872,19.468,17.783,18.441,19.392,18.465,17.700,18.876,18.051,17.833,18.479,17.884,17.030,20.103,21.090,17.148,15.964,16.965,19.276,19.579,20.187,18.758,19.810,19.188,20.039,20.083,19.973,19.592
CL(70:4),NA,13.121,12.663,13.228,11.506,12.533,NA,12.144,16.211,14.952,15.864,13.284,11.488,11.153,NA,15.940,16.992,15.054,16.141,NA,12.463,15.511,17.138,14.243,13.697,15.549,12.446,13.840,11.233,14.088,NA,11.329,NA,11.856,13.808,NA,14.277,10.368,NA,14.362,NA,15.656,NA,NA,10.740,NA,12.838,10.618,12.806,11.978,14.725,16.401,16.323,13.609,NA,NA,13.284,16.409,12.763,10.447,14.327,16.749,17.023,NA,13.630,11.779,12.397,NA,11.018,NA,11.866,NA,14.130,13.201,NA,NA,12.653,14.955,16.901,15.297,16.054,17.450,15.562,15.795,15.713,15.745,15.709
CL(72:5),9.995,13.210,12.415,13.236,10.369,13.350,NA,12.436,16.634,15.537,16.231,13.108,11.458,11.176,12.063,15.488,17.563,15.388,16.344,NA,10.740,15.255,15.756,14.521,14.857,15.461,12.809,14.292,11.525,14.260,NA,12.430,11.865,11.330,13.697,NA,14.757,10.174,NA,14.571,10.615,15.707,NA,10.707,9.941,NA,13.784,10.388,12.657,12.223,15.395,16.719,16.631,14.236,10.492,NA,14.228,17.125,13.541,10.941,14.593,16.623,17.088,NA,14.007,12.968,12.512,NA,10.956,NA,12.062,NA,14.788,13.651,9.998,NA,12.169,15.279,17.694,16.193,16.923,16.925,16.381,15.373,16.353,15.902,16.226
PA(16:0/18:1),15.009,17.273,15.846,15.655,16.068,17.195,15.680,14.455,17.420,18.551,19.267,15.442,13.921,16.983,15.398,15.933,15.724,17.448,16.886,13.147,15.124,17.021,17.892,18.050,18.098,16.378,15.387,17.952,14.927,16.473,15.458,16.089,13.996,13.767,15.967,15.517,16.848,14.611,15.079,15.080,16.680,19.616,15.155,15.661,15.315,15.369,16.835,15.927,18.492,16.412,17.878,17.134,18.216,15.541,13.263,15.301,17.838,16.440,19.121,14.481,17.363,16.647,17.237,13.792,16.316,16.057,17.065,14.912,15.261,15.256,16.089,14.793,18.019,18.457,15.108,15.116,16.091,16.602,18.029,18.264,16.982,17.249,17.295,17.904,17.984,17.875,17.273
PA(16:0/18:2),13.177,16.262,14.183,14.319,15.114,14.774,14.356,12.674,16.014,15.420,16.151,13.780,13.015,14.292,13.196,13.829,13.218,15.288,14.162,12.868,13.487,14.552,15.002,15.590,15.593,14.639,13.435,16.880,13.345,14.379,13.424,13.637,12.546,12.311,14.427,12.960,14.508,13.153,13.575,12.857,14.899,15.920,13.938,12.980,14.743,13.679,15.537,13.884,16.617,15.402,16.266,14.790,15.272,13.538,10.922,13.574,17.123,13.996,16.634,12.899,15.669,13.512,14.042,12.127,14.623,14.190,14.446,13.986,13.571,14.694,14.394,13.648,16.966,16.815,14.529,13.845,14.597,14.970,16.570,16.496,14.284,14.189,13.671,13.241,13.979,14.153,13.048
