Lipid,C3L-00365,C3L-00674,C3L-00677,C3L-01043,C3L-01045,C3L-01048,C3L-01049,C3L-01149,C3L-01157,C3L-01839,C3L-01887,C3L-02041,C3L-02465,C3L-02504,C3L-02542,C3L-02642,C3L-02704,C3L-02705,C3L-02707,C3L-02708,C3L-02900,C3L-02970,C3L-02984,C3L-03266,C3L-03407,C3L-03681,C3L-03727,C3L-03728,C3L-03748,C3L-04084,C3N-00661,C3N-00662,C3N-00663,C3N-00665,C3N-01192,C3N-01196,C3N-01334,C3N-01364,C3N-01366,C3N-01368,C3N-01369,C3N-01370,C3N-01505,C3N-01515,C3N-01517,C3N-01518,C3N-01798,C3N-01814,C3N-01815,C3N-01816,C3N-01817,C3N-01818,C3N-01850,C3N-01852,C3N-01856,C3N-02181,C3N-02183,C3N-02185,C3N-02186,C3N-02188,C3N-02190,C3N-02255,C3N-02256,C3N-02769,C3N-02770,C3N-02782,C3N-02783,C3N-02784,C3N-02785,C3N-02786,C3N-02788,C3N-03070,C3N-03088,C3N-03180,C3N-03182,C3N-03183,C3N-03184,C3N-03186,C3N-03187,C3N-03188,PT-NPJ7,PT-P44H,PT-Q2AG,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH
PE(16:0/18:2);PE(16:1/18:1),21.250,20.713,21.151,21.118,21.679,20.700,21.321,20.331,20.407,19.436,20.064,21.345,21.267,20.392,20.656,20.548,19.628,20.383,20.463,21.936,21.295,20.129,21.074,19.769,19.614,20.507,20.650,20.432,20.544,20.365,21.407,20.456,21.927,20.168,20.626,20.489,20.455,21.585,20.271,20.494,20.586,19.193,20.542,20.267,21.835,20.696,20.715,20.281,20.469,21.666,20.473,20.711,19.318,20.569,20.278,20.718,20.845,20.749,20.195,20.947,21.154,20.045,19.484,21.050,20.374,20.866,20.365,21.355,21.190,21.634,20.379,22.240,19.953,19.695,22.374,21.353,20.904,21.165,20.090,20.673,21.028,19.964,19.774,19.341,19.938,19.352,19.465
PE(16:0/20:4),24.695,23.330,23.631,23.191,24.040,23.454,23.094,23.313,23.215,22.985,22.993,24.748,24.210,23.724,23.431,23.620,23.131,23.182,23.048,24.449,24.536,23.020,22.790,21.952,21.792,22.882,23.792,22.507,23.338,23.747,24.196,23.124,25.303,23.497,23.183,23.395,23.190,23.347,21.479,23.589,23.256,23.135,23.381,23.717,23.285,23.781,22.969,23.080,22.785,22.228,22.668,23.413,23.528,23.616,23.935,23.520,22.609,24.763,23.475,24.199,22.452,23.139,23.094,24.706,23.756,23.113,22.957,22.510,24.726,22.961,23.681,25.186,23.049,22.207,23.247,23.629,22.510,23.114,24.099,22.445,23.259,23.742,24.018,23.493,23.586,23.118,23.663
PE(16:0/20:5),16.582,17.200,17.190,16.557,16.439,16.475,16.153,15.971,15.525,15.490,15.376,19.572,17.214,15.763,15.921,17.249,16.432,17.213,16.561,17.348,17.948,16.403,16.209,15.735,14.334,17.875,17.171,15.594,15.865,16.723,18.088,16.543,18.105,16.704,16.931,15.897,17.065,18.076,16.653,17.452,16.322,16.089,15.875,16.755,15.995,16.069,15.636,16.134,15.820,15.615,15.466,16.450,17.397,16.938,15.310,15.227,16.451,16.566,16.647,16.571,16.073,17.570,17.565,15.145,15.684,15.926,17.350,15.727,17.533,16.071,15.753,19.047,15.165,14.418,16.978,17.931,15.220,16.807,15.248,15.892,16.413,16.371,16.823,16.016,15.783,15.697,16.022
PE(16:0/22:4),22.380,21.266,22.586,21.777,20.297,21.833,21.568,22.653,21.697,21.453,22.129,23.441,21.740,22.669,22.592,22.134,20.284,21.343,21.703,21.989,23.068,21.354,21.198,20.445,20.441,20.160,21.626,21.099,20.678,21.116,20.786,21.752,22.868,19.500,20.584,20.677,21.257,21.423,20.652,20.440,20.364,21.736,21.469,19.007,20.514,21.924,21.781,22.239,21.041,20.043,21.459,21.941,22.022,20.017,20.503,21.210,20.811,21.523,21.161,21.211,21.148,22.202,22.169,20.891,22.217,20.212,21.212,21.232,22.283,20.612,21.698,22.441,20.874,20.798,21.602,21.111,20.533,21.027,22.290,21.838,22.072,22.092,21.982,22.055,22.251,22.030,22.245
PE(16:0/22:5),21.315,19.810,21.205,21.346,19.043,21.031,19.769,21.555,21.032,20.794,21.770,21.213,20.972,21.609,21.602,21.252,19.095,19.936,20.770,20.120,21.433,20.698,20.799,20.071,20.247,18.691,20.636,19.679,20.482,20.244,19.373,19.827,20.341,19.160,19.985,21.425,19.561,19.556,18.848,19.456,18.199,20.209,20.186,18.859,20.029,21.805,21.698,20.078,20.337,18.669,19.698,20.997,20.676,20.451,19.536,19.526,19.496,21.245,19.737,20.525,19.320,19.953,20.230,20.464,20.951,20.120,19.385,20.063,21.447,19.657,20.788,20.299,20.409,18.673,19.899,21.005,21.052,19.000,21.649,20.103,20.509,21.331,20.232,21.630,20.755,21.316,21.329
PE(16:0/22:6),23.353,22.827,23.566,22.525,22.461,23.024,22.774,22.700,22.880,23.565,23.193,23.833,23.488,22.797,22.866,23.435,22.839,22.823,23.239,23.035,23.589,22.746,22.867,22.269,22.146,23.229,22.882,22.737,22.639,23.071,23.104,23.046,23.388,22.483,22.955,22.336,23.492,22.689,21.788,23.335,21.438,23.473,22.911,22.274,23.007,22.887,23.403,22.827,22.722,22.715,23.111,23.227,23.573,23.270,21.533,21.918,22.621,23.360,22.986,23.225,22.612,23.594,23.432,22.991,23.620,22.699,23.144,22.617,23.732,22.151,22.912,23.710,22.766,21.729,22.627,22.547,22.605,23.564,23.330,23.345,23.919,23.724,23.747,23.619,23.832,23.461,23.631
PE(16:1/0:0),17.290,16.213,16.421,14.871,16.456,16.537,15.053,15.393,14.134,11.826,12.164,16.000,15.901,15.514,15.905,15.956,15.790,16.863,16.223,17.790,16.037,16.382,14.122,16.252,14.386,16.059,15.598,12.994,15.603,15.665,16.287,16.090,17.003,15.724,16.032,NA,14.079,16.491,15.743,17.737,17.236,12.349,15.538,17.184,15.969,17.412,15.190,16.417,15.133,15.638,13.584,12.318,12.250,16.294,17.603,16.924,12.955,11.738,13.923,15.534,16.092,15.786,15.479,15.709,15.800,15.454,16.725,14.070,16.562,16.740,16.493,16.309,11.472,11.989,15.861,15.738,16.429,15.225,10.939,13.019,14.421,15.039,13.897,13.560,14.478,14.604,13.749
PE(16:1/18:1),21.358,19.773,20.799,19.937,21.077,20.002,18.985,19.705,19.598,20.803,20.591,21.140,22.142,19.241,19.754,21.942,19.206,20.429,20.422,22.477,22.344,20.170,22.504,18.512,19.448,21.644,19.972,19.124,20.086,20.679,21.358,20.599,21.845,20.654,22.439,21.763,20.377,22.133,18.976,21.536,19.443,21.461,20.095,21.467,20.141,21.773,19.622,20.633,19.897,19.227,20.062,21.266,20.937,20.655,20.821,20.546,18.846,20.988,21.796,20.899,19.846,21.017,19.790,20.324,20.287,20.087,20.818,19.502,21.350,19.866,20.071,20.785,20.070,18.822,21.081,18.564,20.316,20.469,20.188,19.970,21.643,22.523,21.081,21.108,21.224,21.357,21.010
PE(16:1/18:2),16.427,15.882,16.743,15.826,17.226,15.342,15.982,14.686,15.345,15.305,15.745,15.737,16.313,14.309,15.482,17.049,15.100,15.815,16.797,17.280,16.207,15.616,17.561,14.729,14.796,17.470,16.102,16.120,15.475,16.345,16.668,15.932,15.901,15.255,16.239,16.021,16.276,18.520,14.968,16.404,14.765,15.334,14.932,15.894,17.896,15.935,15.976,15.744,16.448,16.948,16.192,16.719,15.916,16.346,14.596,15.825,16.017,15.731,16.290,16.344,16.954,15.380,14.397,14.596,15.477,15.970,16.456,16.548,16.310,16.179,15.851,16.530,15.863,14.755,17.682,15.422,16.968,16.813,15.748,16.756,17.607,17.086,15.104,14.546,15.610,15.567,14.702
PE(16:1/20:4),18.786,18.018,19.251,18.926,18.098,18.282,16.843,16.067,17.769,18.222,18.007,19.062,18.457,17.905,18.443,20.819,18.632,18.201,18.957,18.415,20.146,17.950,20.301,17.166,16.751,19.604,18.854,17.497,17.849,18.709,18.419,17.592,18.328,17.314,18.793,17.807,17.970,19.234,15.567,19.476,15.275,18.210,17.209,17.938,18.730,18.867,17.735,18.592,17.416,17.061,17.511,19.225,18.909,18.844,16.316,18.345,16.876,18.168,18.173,19.215,17.451,17.975,17.882,16.721,17.516,17.373,18.619,17.459,18.868,16.257,18.758,18.977,17.217,14.789,16.646,17.461,18.420,17.699,18.411,18.081,18.498,19.040,18.320,18.519,18.069,18.797,18.226
PE(16:1/22:6),17.994,16.881,19.232,18.070,16.694,17.698,16.237,16.500,15.921,16.775,16.581,17.887,18.415,16.457,16.746,19.277,16.851,17.000,18.667,17.582,19.643,16.881,18.525,16.381,16.652,19.434,17.576,17.039,16.862,17.558,18.334,17.435,16.929,16.779,18.529,16.744,17.810,17.829,15.434,18.887,14.308,16.191,17.197,17.015,18.287,18.022,17.190,17.571,17.268,16.668,16.721,18.152,15.948,17.923,15.498,16.851,16.612,16.850,17.173,18.306,16.961,17.521,16.745,15.919,16.860,16.531,17.620,17.370,17.819,15.779,16.532,17.620,17.027,14.625,16.640,15.711,17.953,17.343,17.146,17.153,18.358,17.787,16.648,17.189,16.606,17.836,16.184
PE(17:0/0:0),15.270,14.475,14.632,13.956,14.959,15.467,14.735,14.644,13.441,12.515,13.011,14.465,14.977,15.099,14.850,14.345,13.855,13.883,13.524,15.478,14.559,13.773,12.783,14.313,14.266,13.602,14.490,13.561,14.242,14.061,14.905,14.485,15.507,14.095,13.728,14.951,13.960,14.893,13.752,14.692,15.116,12.864,14.747,14.409,14.628,15.271,14.878,15.033,13.717,14.445,13.021,13.133,13.222,14.277,16.225,15.284,13.421,13.541,12.899,14.405,13.736,13.963,14.586,15.470,14.535,14.264,14.820,13.641,14.808,14.870,14.369,15.916,13.173,14.900,15.149,14.644,13.971,14.226,13.500,12.884,14.079,13.549,14.885,14.084,14.344,13.494,14.516
PE(17:0/20:4),19.490,19.043,19.264,18.760,17.917,18.727,18.873,17.470,18.556,18.302,18.670,18.810,18.869,18.608,19.031,19.506,18.670,18.799,18.399,18.955,18.450,17.667,17.669,18.059,18.347,18.361,18.327,18.791,18.232,18.470,18.668,18.745,19.071,18.098,18.306,18.727,18.147,19.036,17.267,19.086,18.645,18.603,18.860,17.539,18.231,18.652,19.395,18.840,18.821,18.481,18.426,18.697,18.794,18.051,17.309,18.627,18.528,19.012,18.354,18.653,18.235,18.287,18.911,18.624,19.217,17.363,18.177,18.731,19.401,18.060,18.939,19.991,18.243,17.895,18.418,18.373,17.427,18.207,19.258,17.737,18.983,18.802,19.362,18.952,18.974,18.337,19.223
PE(17:0/22:6),17.617,18.054,18.536,16.705,16.374,17.141,17.639,15.988,17.924,19.009,18.578,17.413,18.337,16.578,17.737,18.514,16.200,17.537,17.204,17.120,16.924,16.733,16.992,17.322,17.971,17.276,16.736,17.754,17.124,18.051,17.315,18.062,17.728,16.798,17.766,17.121,17.833,17.233,15.907,17.473,17.512,19.124,18.138,16.960,16.759,17.377,19.237,17.869,18.086,17.475,18.997,18.166,18.764,17.022,15.989,16.591,17.349,18.462,18.016,17.200,17.316,18.734,18.874,17.978,19.178,16.275,17.715,17.572,18.585,16.735,17.837,18.978,17.979,17.905,17.237,16.260,16.639,18.753,18.490,17.825,19.697,19.455,19.973,19.589,19.372,19.294,19.755
PE(18:0/0:0)_A,13.995,15.660,12.952,13.906,14.340,14.235,14.811,13.961,14.586,13.797,13.426,12.870,13.099,13.565,13.854,13.316,13.138,14.106,12.472,15.112,13.453,14.866,13.016,15.301,14.872,13.213,12.255,13.170,14.151,14.219,16.103,13.525,15.057,14.536,13.703,15.163,12.904,13.303,13.736,14.063,16.426,14.390,15.261,15.304,13.535,14.419,13.494,14.258,14.354,13.726,13.435,12.641,14.111,13.709,19.238,15.193,13.676,15.293,13.645,13.896,14.170,12.777,13.684,17.004,14.296,13.503,14.162,12.908,15.197,15.487,14.547,14.153,14.046,18.455,15.245,13.652,12.941,16.077,13.668,12.900,14.750,13.985,15.213,14.474,14.320,14.583,15.346
PE(18:0/0:0)_B,18.419,19.524,19.075,19.035,20.111,19.360,19.155,20.011,19.316,18.569,18.837,19.420,19.393,19.233,19.580,19.060,18.358,18.837,18.634,19.349,19.355,19.158,17.537,19.531,18.942,18.119,19.181,18.952,18.663,19.075,19.972,18.977,19.775,18.761,19.201,18.821,18.699,18.992,18.719,18.698,19.543,19.161,19.111,19.001,18.916,19.050,19.245,19.362,18.902,18.902,18.457,18.573,19.059,18.746,22.037,19.021,18.682,19.487,18.605,19.004,18.775,19.068,19.597,20.457,19.431,18.905,18.799,18.569,20.021,19.498,19.203,19.867,18.317,20.893,19.789,19.384,18.540,19.768,18.946,18.505,19.994,20.212,20.456,19.771,20.332,19.830,20.312
PE(18:0/18:1),23.668,23.606,24.055,23.845,23.473,23.976,23.863,24.300,23.834,23.603,24.204,24.108,24.401,23.801,23.930,23.222,23.483,23.652,23.708,23.862,23.656,23.289,23.355,23.604,23.431,23.218,23.581,23.666,23.634,23.627,24.421,24.067,24.821,23.564,23.670,24.324,23.773,23.760,23.599,23.397,24.012,23.803,23.378,23.655,23.796,23.433,23.884,23.591,23.606,24.097,23.499,23.617,24.064,23.757,24.652,23.961,23.568,24.058,23.727,23.530,23.484,23.921,23.963,24.164,23.673,23.850,23.448,23.250,24.062,24.571,23.464,24.776,23.211,23.708,24.587,23.281,23.184,23.865,23.915,23.534,24.142,24.419,24.173,24.082,24.336,23.856,24.016
PE(18:0/18:2);PE(16:0/20:2),22.145,22.035,22.159,22.195,22.944,21.851,22.926,22.268,22.328,21.153,21.797,22.219,22.561,21.465,22.105,21.564,20.982,21.601,21.976,22.398,21.051,21.120,20.579,21.087,21.259,21.537,22.074,22.173,21.663,21.876,22.453,21.959,22.886,21.818,21.862,22.104,21.941,23.084,21.977,21.380,22.107,20.950,21.692,21.798,23.403,21.636,22.432,21.514,22.005,22.695,21.957,22.123,21.093,21.690,21.998,22.326,22.085,21.831,21.565,22.403,22.138,21.238,21.073,22.398,22.041,22.486,21.410,22.346,22.314,23.441,21.850,22.796,21.217,21.388,23.664,22.165,22.376,22.303,21.893,21.996,22.512,21.830,21.630,20.952,21.785,21.223,21.376
PE(18:0/20:1),19.336,18.635,19.771,19.572,18.557,19.477,19.652,19.754,19.090,19.710,20.677,18.873,19.848,19.423,19.129,17.499,19.009,19.070,18.340,19.374,18.717,17.994,19.264,20.036,19.685,19.091,18.883,19.596,19.467,18.461,19.046,19.314,20.177,19.181,18.626,19.419,19.177,18.987,19.695,18.874,19.571,20.126,18.637,18.668,18.890,18.715,19.300,18.673,19.375,19.472,19.524,19.354,19.531,19.048,19.897,19.118,19.002,19.075,19.867,19.497,19.399,19.965,19.563,19.446,19.176,19.189,19.481,19.266,18.928,19.517,18.099,19.670,18.931,19.844,20.270,18.399,18.820,19.186,18.856,19.065,20.388,20.305,20.189,20.417,20.519,20.564,20.431
PE(18:0/20:2),18.852,18.466,19.440,19.172,18.798,18.523,19.189,17.845,19.251,19.380,20.153,19.809,21.008,19.226,19.176,19.107,18.194,18.936,18.734,18.829,20.233,19.097,20.431,18.898,19.312,18.689,18.544,18.964,19.000,18.843,18.566,18.735,20.108,18.991,19.643,19.624,18.734,18.932,19.156,18.764,18.237,19.562,19.269,18.333,18.596,19.298,18.802,19.230,18.759,18.780,18.742,19.901,19.581,19.081,18.499,19.006,18.611,19.102,19.177,18.708,18.806,19.781,19.695,18.709,18.939,19.041,18.727,19.220,18.839,18.890,18.187,19.612,18.769,18.549,20.829,18.322,18.921,18.223,19.856,18.467,19.448,20.019,19.548,20.124,19.367,19.522,19.522
PE(18:0/20:3)_A,22.065,21.175,22.573,21.610,22.322,21.652,22.014,20.798,21.705,20.913,21.528,22.834,22.873,21.465,21.780,21.389,20.282,21.020,21.807,22.168,21.420,21.112,19.798,20.392,20.993,20.697,21.972,22.089,21.678,21.393,21.671,21.739,22.300,21.750,22.342,22.261,21.762,21.597,21.605,20.705,20.190,20.813,22.310,21.281,22.199,21.393,21.378,21.308,21.144,21.582,21.767,22.505,22.056,21.607,20.971,21.222,21.518,22.187,21.448,21.756,21.359,22.045,21.536,21.677,22.148,22.636,21.491,22.033,22.318,21.554,21.079,22.843,20.709,19.653,22.602,21.294,21.825,21.417,22.433,21.811,22.222,21.650,22.333,20.735,21.112,20.705,21.427
PE(18:0/20:3)_B,20.404,18.355,19.482,20.323,19.285,19.860,19.527,19.988,20.392,18.929,20.145,20.243,21.158,19.774,20.598,19.988,20.370,19.223,19.257,19.261,21.385,20.259,20.798,18.965,19.274,19.181,18.769,18.684,19.637,19.621,18.544,20.096,20.500,18.971,20.160,20.985,19.689,19.361,19.651,21.145,18.725,19.393,18.454,19.270,17.106,19.984,19.175,19.655,18.288,16.962,17.831,20.289,21.035,20.835,18.343,19.429,17.824,20.263,19.475,18.893,18.356,21.104,21.248,19.426,19.176,19.598,18.870,19.035,19.795,18.332,18.664,19.940,18.536,18.284,17.384,20.078,19.484,18.141,20.459,18.299,18.525,19.802,19.336,19.980,19.273,19.273,19.589
PE(18:0/20:4),24.336,24.324,24.747,24.078,24.389,24.894,24.303,24.774,24.646,23.952,24.691,25.262,24.511,24.928,24.794,24.375,24.373,24.072,24.451,24.460,24.773,23.898,23.561,23.566,23.339,23.803,24.757,24.418,24.132,24.364,24.430,24.311,25.248,23.819,24.299,24.144,24.304,24.429,23.252,24.335,23.791,24.174,23.827,23.993,24.588,24.141,24.457,24.502,23.875,24.131,24.135,24.047,24.768,24.068,23.964,23.821,23.938,24.984,23.749,24.435,23.492,24.594,24.821,24.983,24.963,24.486,24.279,23.741,25.231,24.122,24.558,25.604,23.744,23.654,24.122,24.163,23.909,24.103,25.148,24.156,24.624,24.611,24.800,24.467,24.624,24.315,24.728
PE(18:0/22:3),17.879,17.324,18.478,18.955,17.379,17.671,17.673,18.930,19.010,17.901,18.968,19.151,19.012,18.797,19.530,18.317,17.018,18.222,17.860,17.896,21.132,18.857,19.429,17.257,17.874,16.908,17.799,18.126,17.814,17.921,17.143,19.148,19.606,17.346,18.426,19.125,17.127,16.609,18.672,17.541,18.467,18.201,18.059,16.737,16.981,18.945,18.135,19.150,17.733,15.613,16.850,18.465,19.863,17.015,17.872,17.850,16.912,18.745,17.655,17.223,17.682,20.041,20.231,17.958,17.973,17.176,17.545,17.912,18.880,16.907,17.656,19.172,17.171,17.396,16.514,18.319,17.881,16.467,19.672,17.588,17.480,19.203,17.919,18.924,18.471,18.126,18.999
PE(18:0/22:4),22.490,22.810,23.734,21.848,21.704,22.259,22.471,23.752,23.607,23.301,23.865,23.821,22.756,23.065,23.464,23.313,20.987,22.525,23.007,22.403,23.789,22.422,22.151,21.921,21.987,20.860,22.681,22.959,21.777,22.975,21.734,23.012,23.789,20.690,22.165,22.208,22.864,22.100,21.655,20.268,21.844,23.632,22.560,20.908,21.822,22.219,23.131,23.087,22.040,21.285,23.103,23.396,23.925,21.537,22.212,21.968,22.111,23.344,22.504,21.708,21.778,23.570,23.858,22.954,23.707,21.273,22.240,21.645,23.810,22.150,23.093,24.224,22.446,22.503,22.666,22.262,21.711,22.941,23.885,23.489,24.067,24.164,24.000,23.697,23.916,23.731,24.140
PE(18:0/22:5),21.044,20.830,22.393,21.203,19.732,21.334,19.852,22.753,22.207,22.212,22.915,20.602,21.917,21.759,22.037,22.295,19.031,21.027,21.440,19.982,21.204,21.118,20.887,20.636,21.009,18.676,21.128,21.032,21.069,21.479,19.788,20.721,20.789,19.744,20.868,22.295,20.960,19.317,18.881,19.367,19.595,21.488,20.775,19.064,20.847,21.892,22.599,20.765,20.721,19.301,21.507,22.101,22.410,20.786,20.440,19.952,20.087,22.730,20.633,20.355,19.801,21.400,21.656,21.630,22.368,21.274,20.713,19.707,22.783,20.465,21.833,21.617,21.383,19.905,20.419,21.274,21.342,20.579,22.873,21.322,22.806,23.356,22.193,23.499,22.465,23.228,23.140
PE(18:0/22:6),22.565,23.464,24.000,22.334,22.945,22.822,22.972,23.822,24.080,24.529,24.352,23.083,24.172,22.690,23.467,23.864,22.191,23.391,23.615,22.667,23.225,23.319,23.443,23.052,22.968,22.840,22.944,23.799,22.702,24.193,23.403,23.588,23.608,22.905,23.395,22.688,24.087,22.529,21.838,22.729,22.561,24.571,23.020,22.924,23.348,23.068,24.175,23.553,22.975,22.668,24.268,24.053,24.642,23.447,21.880,21.676,22.992,24.445,23.823,22.772,22.923,24.809,24.629,24.081,24.776,23.167,23.784,22.076,24.549,22.541,23.827,24.654,23.653,23.417,22.839,22.286,22.902,24.571,24.383,24.043,25.182,25.180,25.060,24.799,24.864,24.755,24.950
PE(18:0/24:4),18.078,18.312,17.595,17.482,17.936,18.214,17.150,19.273,17.861,18.393,18.651,17.016,17.155,17.680,18.150,17.591,17.076,18.307,18.121,18.824,16.889,17.229,17.654,18.100,17.431,16.398,18.130,18.171,18.084,17.838,17.723,17.976,17.355,17.301,17.809,18.159,17.597,16.690,16.818,16.330,18.519,18.467,16.988,16.510,18.723,17.872,19.094,17.902,18.292,15.878,17.516,18.168,18.124,16.781,16.162,16.920,17.891,17.220,17.539,18.246,18.168,17.597,17.665,17.226,18.430,17.575,17.681,18.314,18.957,16.872,18.426,17.326,17.850,18.946,16.526,16.476,18.461,18.164,18.997,18.198,18.850,18.483,18.642,18.366,19.239,17.967,18.475
PE(18:1/0:0)_A,21.713,21.377,20.842,19.978,21.222,21.889,20.721,20.566,19.377,18.518,18.426,20.506,21.611,21.476,20.384,20.709,20.822,21.677,21.205,21.598,20.423,20.590,19.532,21.974,20.722,21.441,20.729,19.348,20.638,20.456,21.642,21.545,22.221,21.271,20.345,22.027,19.710,21.402,20.841,22.190,22.683,18.546,21.094,21.830,21.491,22.018,20.732,21.275,21.083,21.672,19.103,18.014,18.018,21.459,22.888,22.372,19.030,18.263,19.808,20.785,21.317,20.656,20.548,21.443,20.778,21.409,22.200,19.403,21.183,21.687,20.814,21.653,17.845,19.211,21.605,20.727,21.298,20.471,17.047,18.634,19.735,19.829,20.423,19.688,20.091,19.870,19.850
PE(18:1/0:0)_B,19.566,20.582,19.312,18.495,19.638,19.401,18.730,18.561,18.580,19.872,18.327,18.114,19.834,18.442,18.898,19.509,19.359,19.693,18.317,18.970,19.310,19.285,19.541,20.055,19.906,19.659,18.814,18.434,18.861,18.351,19.980,18.859,19.673,18.960,19.369,18.770,18.122,19.685,18.863,19.947,20.103,18.569,18.638,19.867,18.948,19.306,19.047,19.451,20.747,19.811,19.123,18.803,18.279,20.025,20.979,19.565,19.173,18.976,19.918,19.023,19.441,17.954,18.256,19.354,18.707,19.052,19.615,17.852,18.833,19.516,18.799,19.104,18.891,20.698,19.068,18.526,19.076,19.668,17.747,18.055,19.814,20.378,20.671,20.319,20.813,19.872,20.587
PE(18:1/18:1),22.443,21.478,22.360,22.228,22.324,22.606,22.177,21.024,22.155,22.793,23.212,22.184,24.237,22.047,22.064,23.010,22.674,21.922,22.825,22.439,22.780,21.829,23.570,21.987,22.468,23.207,21.889,21.799,22.174,22.410,23.535,22.653,23.491,22.469,22.604,23.491,22.710,23.720,21.910,23.456,21.537,23.473,22.150,22.084,22.505,22.659,22.698,22.404,22.381,23.592,22.152,22.880,22.568,23.283,22.531,22.206,21.668,22.408,22.824,22.815,22.377,22.653,22.344,21.615,21.979,22.835,22.850,22.543,22.226,22.462,21.626,22.869,21.920,21.854,23.427,20.798,22.211,22.556,21.937,22.073,23.206,23.542,22.885,23.139,23.494,23.036,23.206
PE(18:1/18:2),21.314,20.846,21.152,20.898,22.122,20.350,21.610,20.228,20.853,20.241,20.764,20.538,21.829,20.011,20.354,20.653,20.237,20.649,21.063,21.644,20.074,19.696,21.165,20.150,20.496,21.612,20.843,20.927,20.456,20.820,21.975,20.827,21.961,20.419,21.147,21.342,20.963,23.051,20.338,20.776,20.447,20.279,20.419,20.650,22.336,20.884,21.310,20.430,21.267,22.386,20.687,21.240,20.248,20.805,20.368,20.865,20.694,20.883,20.970,21.541,21.591,19.985,19.396,20.973,20.772,21.801,20.783,22.096,21.169,21.635,20.551,22.091,20.550,20.583,22.962,20.091,21.505,21.606,20.320,20.842,21.841,20.961,19.966,19.319,20.686,20.063,19.959
PE(18:1/18:2);PE(16:0/20:3),20.674,19.633,20.902,20.343,20.169,20.328,20.074,18.987,20.173,19.738,20.260,21.592,21.109,20.021,20.400,20.798,19.133,19.651,20.508,20.774,20.877,20.380,20.305,19.466,19.207,19.708,19.974,20.062,20.138,19.888,20.237,19.549,20.835,19.813,20.460,20.010,19.477,20.037,19.442,19.736,18.451,19.799,20.594,19.508,19.724,19.962,19.653,20.351,20.003,19.735,20.154,20.771,19.766,20.472,18.834,19.685,20.183,20.705,19.909,20.140,20.145,20.038,19.248,19.909,20.046,19.950,20.012,20.866,20.553,19.347,19.627,20.465,19.888,18.621,20.747,20.205,19.795,19.547,20.688,20.054,20.390,19.803,20.265,19.448,19.792,19.388,19.745
PE(18:1/20:1),19.780,18.850,19.448,19.567,19.052,19.038,19.479,18.240,19.674,21.006,21.316,18.210,20.570,19.185,18.814,18.328,20.725,19.558,19.103,19.486,19.245,18.575,20.223,20.394,21.021,20.106,19.066,19.769,19.189,19.142,20.091,19.609,20.699,19.479,20.230,20.607,20.103,20.755,19.214,20.513,19.624,21.147,18.885,19.149,18.396,19.918,19.575,19.076,19.562,21.612,19.704,NA,19.460,19.966,19.700,19.406,19.289,18.881,20.714,19.101,19.557,20.234,19.175,19.156,18.676,20.513,20.334,19.995,18.991,19.528,18.251,19.742,19.707,20.457,21.591,17.878,19.530,19.662,18.685,19.081,20.519,20.886,19.829,20.773,20.773,21.220,20.303
PE(18:1/20:2),18.230,17.577,18.182,18.531,18.404,17.708,19.002,17.316,18.504,18.698,19.084,17.694,21.039,17.896,17.438,19.178,17.879,17.766,17.896,18.509,19.486,17.994,20.316,18.103,19.228,18.449,17.943,19.068,18.117,17.689,18.364,17.856,19.282,18.406,18.989,19.069,18.337,20.750,17.497,19.593,18.219,18.686,18.268,18.371,18.903,19.126,18.584,18.702,18.336,20.746,18.387,19.059,17.248,18.742,18.018,18.988,18.649,17.896,19.018,18.612,18.748,18.026,17.705,17.834,17.462,19.411,18.667,19.417,17.687,19.141,17.201,18.567,18.573,19.024,21.767,16.902,18.628,18.743,17.715,18.158,18.983,18.988,17.635,18.695,18.665,18.231,18.093
PE(18:1/20:3),20.457,19.705,20.592,19.970,20.211,19.705,19.797,18.245,20.193,19.843,20.182,19.943,21.888,19.512,19.723,21.182,19.172,19.903,20.612,20.070,20.523,19.826,19.644,19.375,19.897,21.048,19.835,20.196,19.936,19.799,20.808,19.956,20.479,19.927,20.852,20.443,19.720,20.903,19.248,20.443,18.113,19.897,20.597,19.847,19.963,20.259,19.808,20.562,20.228,20.168,20.019,21.346,19.711,20.620,18.709,20.022,19.910,20.321,20.649,20.990,20.451,19.965,18.885,19.632,20.178,20.794,20.100,21.265,20.352,19.368,19.295,20.770,20.023,18.544,20.891,18.995,20.252,19.789,20.406,19.933,20.222,20.311,20.134,19.517,19.944,19.370,19.845
PE(18:1/20:4),23.079,22.676,23.194,22.873,22.766,22.833,22.553,21.900,23.163,22.830,22.961,23.478,23.620,22.938,23.231,24.050,23.503,22.299,23.293,22.749,23.590,22.037,23.261,21.741,22.171,23.218,23.413,22.501,22.329,23.112,23.213,22.652,23.753,22.299,22.674,22.651,23.074,23.677,21.074,23.769,21.359,22.760,22.392,22.228,23.014,22.914,22.762,22.782,22.237,22.823,22.307,22.966,23.179,23.283,21.882,22.575,21.878,23.123,22.733,23.462,22.170,22.586,22.622,22.182,22.766,22.730,22.897,22.607,22.884,21.780,22.820,24.066,22.380,21.399,22.770,21.952,22.540,22.595,22.873,22.425,22.905,23.531,22.988,23.139,22.779,23.012,23.059
